nome,descricao,categoria,subcategoria,marca,preco,estoque,sku,aplicacao
Tinta Acrilica Sherwin-Williams Preto 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Preto, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,83.71,82,ACR-SHE-PRE-36L-0,Paredes Internas e Externas
Tinta Acrilica Suvinil Cinza Escuro 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Cinza Escuro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,12.22,51,ACR-SUV-CIN-900ml-1,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Mostarda 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Mostarda, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,16.31,92,ACR-SHE-MOS-900ml-2,Paredes Internas e Externas
Tinta Acrilica Dacar Verde Menta 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Menta, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,19.49,95,ACR-DAC-VER-900ml-3,Paredes Internas e Externas
Tinta Acrilica Dacar Roxo 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Roxo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,254.66,115,ACR-DAC-ROX-18L-4,Paredes Internas e Externas
Tinta Acrilica Lukscolor Areia 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Areia, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,64.46,141,ACR-LUK-ARE-36L-5,Paredes Internas e Externas
Tinta Acrilica Coral Amarelo 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Amarelo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,55.92,57,ACR-COR-AMA-36L-6,Paredes Internas e Externas
Tinta Acrilica Suvinil Roxo 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Roxo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,261.84,65,ACR-SUV-ROX-18L-7,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Verde Menta 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Menta, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,358.6,103,ACR-SHE-VER-18L-8,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Verde Agua 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Agua, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,65.59,141,ACR-SHE-VER-36L-9,Paredes Internas e Externas
