marca,modelo,versao,ano_modelo,ano_fabricacao,preco,preco_anterior,aceita_troca,financiamento_disponivel,quilometragem,cor,combustivel,cambio,motor,portas,final_placa,opcionais,imagem_principal,imagens_galeria,descricao,observacoes,disponivel,destaque,oferta_especial,codigo_fipe,valor_fipe,cidade,estado,loja,codigo_interno,sku
Toyota,Corolla,XEi 2.0 Flex Aut.,2024,2023,152900,165000,1,1,12000,Prata,Flex,Automático,2.0,4,8,"Ar-condicionado digital|Bancos em couro|Central multimídia|Câmera de ré|Sensor de estacionamento|Piloto automático|Controle de tração|ABS|Airbags",https://i.imgur.com/8xKqJ2h.jpg,https://i.imgur.com/8xKqJ2h.jpg|https://i.imgur.com/9yLpM3k.jpg|https://i.imgur.com/7wNqK4j.jpg,Toyota Corolla XEi 2024 completo. Único dono. Todas revisões em concessionária. Estado de zero. Aceita troca e financia até 60x.,Garantia de fábrica até 2027. Manual e chave reserva.,1,1,0,004278-0,154000,São Paulo,SP,ShowRoom SP,COR2024001,SKU-COR-001
Honda,Civic,Touring 1.5 Turbo CVT,2023,2023,189900,205000,1,1,18500,Preto,Gasolina,Automático CVT,1.5 Turbo,4,5,"Teto solar|Bancos em couro|Central multimídia Honda SENSING|Carregador wireless|Ar-condicionado digital|Piloto automático adaptativo|Frenagem automática|Lane Keep|Sensor 360|LED full",https://i.imgur.com/5tYqN7m.jpg,https://i.imgur.com/5tYqN7m.jpg|https://i.imgur.com/6uZrO8n.jpg|https://i.imgur.com/4sXpL9k.jpg,Honda Civic Touring 2023 top de linha. Segundo dono. Revisões em dia. Tecnologia Honda SENSING completa. Impecável.,IPVA 2025 pago. Aceita carro ou moto na troca.,1,1,1,004567-8,195000,Rio de Janeiro,RJ,Auto Premium RJ,CIV2023001,SKU-CIV-002
Volkswagen,T-Cross,Highline 1.4 TSI Aut.,2024,2024,139900,148000,1,1,8500,Branco Cristal,Flex,Automático,1.4 TSI,4,3,"Central multimídia VW Play|Ar digital|Sensor de estacionamento|Câmera 360|Controle de cruzeiro|Faróis full LED|Rodas 17 polegadas|Park Assist",https://i.imgur.com/3vWqM6l.jpg,https://i.imgur.com/3vWqM6l.jpg|https://i.imgur.com/2uTpN5m.jpg|https://i.imgur.com/1sRoK7n.jpg,VW T-Cross Highline 2024 zero km rodado. Revisão feita. SUV compacto perfeito para cidade. Aceita financiamento em até 72x.,Garantia total até 2027. Manuais e documentação completa.,1,1,0,005123-4,145000,Brasília,DF,VW Brasília Motors,TCR2024001,SKU-TCR-003
Chevrolet,Onix Plus,Premier 1.0 Turbo AT,2023,2023,94900,102000,1,1,22000,Cinza Grafite,Flex,Automático,1.0 Turbo,4,7,"MyLink 2|Ar-condicionado automático|Sensor de ré|Câmera|Controle de cruzeiro|Bancos com ajuste elétrico|Volante multifuncional|USB Type-C",https://i.imgur.com/7wNqK8m.jpg,https://i.imgur.com/7wNqK8m.jpg|https://i.imgur.com/6vTrL9n.jpg|https://i.imgur.com/5uRpM7k.jpg,Chevrolet Onix Plus Premier 2023. Sedã econômico e espaçoso. Único dono. Revisões Chevrolet. Ótimo estado de conservação.,Aceita veículo de menor valor. Financiamento direto com o banco.,1,0,1,003845-2,98000,Belo Horizonte,MG,Chevrolet BH Premium,ONX2023001,SKU-ONX-004
Jeep,Compass,Limited 1.3 Turbo Flex AT,2024,2024,169900,182000,1,1,5200,Vermelho Sting,Flex,Automático,1.3 Turbo,4,1,"UConnect 10.1|Ar tri-zone|Teto panorâmico|Sensor 360|Câmera HD|Assistente de estacionamento|Controle de descida|Faróis LED adaptativos|Bancos ventilados",https://i.imgur.com/9yLpM2n.jpg,https://i.imgur.com/9yLpM2n.jpg|https://i.imgur.com/8xKqJ3m.jpg|https://i.imgur.com/7wNqL4k.jpg,Jeep Compass Limited 2024 seminovo. SUV premium com baixíssima rodagem. Todas as revisões Jeep. Estado de showroom.,Primeira parcela para 60 dias. Aceita troca com ou sem troco.,1,1,0,005678-9,176000,Curitiba,PR,Jeep Star Curitiba,CMP2024001,SKU-CMP-005
Hyundai,HB20,Vision 1.0 Manual,2023,2023,68900,74000,1,1,28000,Branco Polar,Flex,Manual,1.0,4,9,"Ar-condicionado|Direção elétrica|Vidros elétricos|Travas elétricas|Alarme|Rádio Bluetooth|Computador de bordo|Sensor TPMS",https://i.imgur.com/6uZrO4p.jpg,https://i.imgur.com/6uZrO4p.jpg|https://i.imgur.com/5tYqN6m.jpg|https://i.imgur.com/4sXpL8k.jpg,Hyundai HB20 Vision 2023. Hatch econômico perfeito para primeiro carro. Único dono. Sem detalhes. Pronto para uso.,Aceita moto na troca. Financia 100% com entrada facilitada.,1,0,1,002567-3,71000,Fortaleza,CE,Hyundai Premium Fortaleza,HB202023001,SKU-HB20-006
Fiat,Argo,Trekking 1.3 AT6,2024,2024,95900,103000,1,1,7800,Verde Techno,Flex,Automático,1.3,4,2,"Uconnect 7|Ar-condicionado|Controle de tração e estabilidade|Sensor de ré|Rodas 15 diamantadas|Rack de teto|Retrovisores elétricos|Faróis de neblina",https://i.imgur.com/4sXpL6m.jpg,https://i.imgur.com/4sXpL6m.jpg|https://i.imgur.com/3vWqM7n.jpg|https://i.imgur.com/2uTpN8k.jpg,Fiat Argo Trekking 2024 aventureiro. Visual robusto e consumo baixo. Revisões Fiat. Perfeito para cidade e estrada.,Garantia de fábrica. Aceita propostas à vista com desconto.,1,0,0,003124-7,99000,Recife,PE,Fiat Recife Automóveis,ARG2024001,SKU-ARG-007
Renault,Kwid,Zen 1.0 Manual,2023,2023,59900,64000,1,1,31000,Laranja Sunset,Flex,Manual,1.0,4,4,"Ar-condicionado|Direção elétrica|Vidros elétricos dianteiros|Sistema multimídia|Bluetooth|Computador de bordo|Volante com regulagem|ABS",https://i.imgur.com/2uTpN9m.jpg,https://i.imgur.com/2uTpN9m.jpg|https://i.imgur.com/1sRoK3n.jpg|https://i.imgur.com/9yLpM4k.jpg,Renault Kwid Zen 2023. Econômico e ágil para cidade. Único dono. Baixa km. Consumo imbatível de até 16 km/l.,Parcelas de R$ 899. Aceita carro ou moto como entrada.,1,0,1,001234-5,62000,Salvador,BA,Renault Salvador Premium,KWI2023001,SKU-KWI-008
Nissan,Kicks,Exclusive 1.6 CVT,2023,2023,119900,128000,1,1,16000,Azul Cosmos,Flex,Automático CVT,1.6,4,6,"Central flutuante 8|Ar-condicionado digital|Câmera 360|Sensor de ponto cego|Assistente de permanência em faixa|Controle de cruzeiro|Bancos em couro|LED DRL",https://i.imgur.com/1sRoK5n.jpg,https://i.imgur.com/1sRoK5n.jpg|https://i.imgur.com/9yLpM6k.jpg|https://i.imgur.com/8xKqJ7m.jpg,Nissan Kicks Exclusive 2023 SUV compacto. Tecnologia e conforto. Segundo dono. Revisões em concessionária. Impecável.,IPVA 2025 pago. Aceita troca maior ou menor valor.,1,1,0,004891-2,125000,Porto Alegre,RS,Nissan Premium RS,KCK2023001,SKU-KCK-009
Ford,Ranger,XLT 3.2 Diesel 4x4 AT,2022,2021,229900,245000,1,1,65000,Cinza Magnetic,Diesel,Automático,3.2,4,8,"SYNC 3|Ar-condicionado dual|Bancos em couro|Câmera de ré|Sensor|Controle de tração 4x4|Diferencial blocante|Assistente de rampa|Gancheira|Capota marítima",https://i.imgur.com/9yLpM8k.jpg,https://i.imgur.com/9yLpM8k.jpg|https://i.imgur.com/8xKqJ9m.jpg|https://i.imgur.com/7wNqK2n.jpg,Ford Ranger XLT 2022 diesel 4x4. Picape robusta para trabalho e lazer. Único dono. Todas revisões Ford. Pneus novos.,Aceita carro ou moto na troca. Financia até 60 meses.,1,1,0,006234-8,238000,Goiânia,GO,Ford Premium Goiás,RNG2022001,SKU-RNG-010
